Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Poor But Beautiful,97,Italian,"Salvatore and Romolo are two young and poor young men that are neighbours and friends. They live with their parents in Piazza Navona, Rome. They are poor but handsome, and both fall in love with Giovanna.",1957,"Romance, Comedy","italian, pink neorealism","Memmo Carotenuto, Renato Salvatori, Marisa Allasio, Maurizio Arena, Lorella De Luca",Dino Risi,,,,"Titanus, Société Générale de Cinématographie (S.G.C.)",Unknown
Beginning of the End,73,English,"An attractive reporter investigating the mysterious destruction of an Illinois town stumbles upon a secret government laboratory conducting radiation experiments on vegetables. The lead scientist is eager to help find out what happened. Together they discover that giant grasshoppers are behind the devastation. Worse yet, thousands of them are headed toward Chicago! Can they be stopped... or is this the BEGINNING OF THE END?",1957,"Horror, Science Fiction","chicago, illinois, radiation, deaf-mute, evacuation, giant insect, woman reporter, military, man eating monster, locust, scientist hero, high frequency sound, grasshopper","Peter Graves, Morris Ankrum, Thomas Browne Henry, Peggie Castle, Than Wyenn",Bert I. Gordon,,,,AB-PT Pictures Corp.,Unknown
Island in the Sun,119,English,"On a Caribbean island, a rich landowner's son, Maxwell Fleury, is fighting for political office against black labor leader David Boyeur. As if the contentious election weren't enough, there are plenty of scandals to go around: Boyeur has a secret white lover and Fleury's wife, Sylvia, is also having an affair. And then, of course, there's the small matter of a recently murdered aristocrat.",1957,"Drama, Romance","based on novel or book, interracial relationship, caribbean sea, race relations","Joan Collins, James Mason, Joan Fontaine, Dorothy Dandridge, Michael Rennie",Robert Rossen,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Darryl F. Zanuck Productions, 20th Century Fox",Unknown
"Heaven Knows, Mr. Allison",108,English,"A Roman Catholic nun and a hard-bitten US Marine are stranded together on a Japanese-occupied island in the South Pacific during World War II. Under constant threat of discovery by a ruthless enemy, they hide in a cave and forage for food together. Their forced companionship and the struggle for survival forge a powerful emotional bond between them.",1957,"Adventure, War, Drama","nun, world war ii, pacific war, religion, pacific island, u.s. marine, japanese army, roman catholic, two-hander","Robert Mitchum, Deborah Kerr",John Huston,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",20th Century Fox,Unknown
Nights of Cabiria,110,Italian,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",1957,Drama,"rome, italy, optimism, house, poverty, prostitution, madonna, heartbreak, rescue from drowning, ostia italy, shrine, hypnotist, railway station, starving, accountant","Giulietta Masina, François Périer, Amedeo Nazzari, Aldo Silvani, Franca Marzi",Federico Fellini,,Amazon Video ,Amazon Video ,"DDL Cinematografica, Les Films Marceau",Unknown
Legend of the Lost,109,English,American ne'er-do-well Joe January is hired to take Paul Bonnard on an expedition into the desert in search of treasure.,1957,Adventure,"prostitute, parent child relationship, greed, wilderness, treasure hunt, sahara desert, lost city, dying of thirst","Kurt Kasznar, Sophia Loren, Sonia Moser, Rossano Brazzi, John Wayne",Henry Hathaway,Amazon Prime Video ,"Apple TV, Google Play Movies, YouTube, Vudu ","Apple TV, Google Play Movies, YouTube, Vudu ","Batjac Productions, Dear Film",Unknown
The Spirit of St. Louis,135,English,Charles 'Slim' Lindbergh struggles to finance and design an airplane that will make his New York to Paris flight the first solo trans-Atlantic crossing.,1957,"Adventure, Drama, History","based on true story, flight, historical figure, aviation, airplane crash, transatlantic","Marc Connelly, Patricia Smith, Bartlett Robinson, James Stewart, Murray Hamilton",Billy Wilder,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Warner Bros. Pictures,Unknown
Kanal,96,Polish,"During the last few days of the Warsaw Uprising following World War II, a modest group of Resistance members remains. The band must take refuge in the sewers under the orders of leader Zadra, but it's only a matter of time before they will have to emerge. However, when they try, they are met only with intense hostility from the Nazis. Despite their attempts stay resolute through immense mental strain, it becomes increasingly apparent that they may be doomed.",1957,"War, Drama","nazi, black and white, ruins, warsaw uprising","Tadeusz Gwiazdowski, Wieńczysław Gliński, Tadeusz Janczar, Stanisław Mikulski, Teresa Iżewska",Andrzej Wajda,Criterion Channel ,,,"WFF Lodz, Zespół Filmowy ""Kadr""",Unknown
Wild Strawberries,91,Swedish,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",1957,Drama,"adultery, dream, nightmare, faith, identity, professor, journey in the past, aging, road trip, child, acceptance","Bibi Andersson, Gunnar Björnstrand, Jullan Kindahl, Victor Sjöström, Ingrid Thulin",Ingmar Bergman,"Max, Max Amazon Channel, Criterion Channel ","Apple TV, Amazon Video ","Apple TV, Amazon Video ",SF Studios,Unknown
Funny Face,103,English,A shy Greenwich Village book clerk is discovered by a fashion photographer and whisked off to Paris where she becomes a reluctant model.,1957,"Music, Comedy, Romance","dance, paris, france, photographer, intellectual, musical, beatnik, man woman relationship, fashion photographer, book store, eiffel tower, paris, fashion magazine, high fashion, fashion model","Robert Flemyng, Fred Astaire, Michel Auclair, Kay Thompson, Audrey Hepburn",Stanley Donen,"Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, Hoopla ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Paramount,Unknown
